uid,kind,domain,task,service,unit,title,must_teach,qualifier,distractor_angles,difficulty,priority,status,existing_uid,gap_note,batch
aws-kms-cross-account-decrypt-mcq-42,mcq,D1,1.3,AWS KMS,S: implementing access policies for encryption keys,Account B role must decrypt S3 objects encrypted with a customer-managed key in account A,"Correct: key policy in A grants kms:Decrypt (and DescribeKey) to account B (root or role), and B's role identity policy allows kms:Decrypt on that key ARN, plus the S3 bucket policy for the object. KMS keys cannot be exported, copied or shared via RAM.",least-change,identity policy in B only (key policy must allow B); bucket policy alone (S3 access without key access still fails); share the key with RAM (unsupported); copy the key to account B (keys are not exportable),2,P0,new,,,B2.2 P0 新卡
aws-kms-rotation-key-types-mcq-50,mcq,D1,1.3,AWS KMS,S: rotating encryption keys and renewing certificates,Yearly rotation for imported-material and asymmetric keys - approach,"Correct: automatic rotation is only for symmetric customer-managed keys with KMS-generated material; imported, asymmetric, HMAC and custom-key-store keys need manual rotation: create a new key and repoint the alias, keeping the old key for decrypting existing data. No re-encryption of old data is required.",least-ops,enable automatic rotation on the imported-material key (unsupported); re-encrypt all data with the new key (unnecessary; alias swap suffices); delete the old key after rotation (breaks decryption of old ciphertext); switch to an AWS-managed key (loses control; still symmetric only),2,P1,new,,,B4.2 P1 新卡
aws-kms-viaservice-condition-mcq-44,mcq,D1,1.3,AWS KMS,S: implementing access policies for encryption keys,"Key may be used only through S3 in eu-west-1, never by direct API calls",Correct: key policy condition kms:ViaService = s3.eu-west-1.amazonaws.com (and kms:CallerAccount); direct Decrypt calls from users are denied even with the key ARN allowed in IAM.,most-secure,"aws:SourceIp condition (users in the office still call KMS directly); separate key per service without a condition (does not stop direct calls); grants to the S3 service (grants are created by the service, not a restriction); permissions boundary on users (does not bind service usage)",3,P1,new,,,B4.2 P1 新卡
aws-macie-find-pii-buckets-mcq-48,mcq,D1,1.3,Amazon Macie,"S: implementing policies for data access, lifecycle, and protection",Discover which of 300 buckets contain PII and alert on public exposure - least ops,"Correct: Macie with automated sensitive-data discovery and bucket policy findings, sending to Security Hub/EventBridge. GuardDuty/Inspector do not read object content.",least-ops,"GuardDuty S3 protection (threat activity, not content); Inspector (vulnerabilities); Athena scans with regex (custom, manual); Config s3-bucket-public-read-prohibited (exposure only, no PII)",1,P1,new,,,B4.2 P1 新卡
aws-object-lock-compliance-vs-governance-mcq-47,mcq,D1,1.3,Amazon S3,"S: implementing policies for data access, lifecycle, and protection",Financial records must be undeletable for 7 years even by root - which control,Correct: S3 Object Lock in compliance mode with a 7-year retention period (versioning required). Governance mode can be bypassed with s3:BypassGovernanceRetention; MFA delete and bucket policies can be undone by root/admins.,most-secure,governance mode retention (bypassable); versioning plus MFA delete (root can still delete); bucket policy denying s3:DeleteObject (admins change the policy); lifecycle rule with 7-year expiration (expiry is not immutability),2,P0,new,,,B2.2 P0 新卡
aws-rds-encrypt-existing-instance-mcq-37,mcq,D1,1.3,Amazon RDS,S: encrypting data at rest (KMS),Existing unencrypted RDS instance must be encrypted at rest - least downtime path,"Correct: take a snapshot, copy it with a KMS key, restore from the encrypted copy, cut over (or DMS for near-zero downtime). Encryption cannot be enabled in place and an unencrypted instance cannot have encrypted replicas.",least-change,"modify the instance and tick 'encrypt' (not possible); create an encrypted read replica and promote (not possible from unencrypted source); enable EBS encryption by default (does not apply to RDS); enable TDE (only Oracle/SQL Server, still not KMS at-rest for the volume)",2,P0,new,,,B2.2 P0 新卡
aws-s3-access-points-multi-app-mcq-49,mcq,D1,1.3,Amazon S3,"S: implementing policies for data access, lifecycle, and protection",Hundreds of apps need prefix-level access to one bucket; policy hit size limit,"Correct: S3 Access Points, one per app/team with its own policy (and optional VPC restriction), delegating from a bucket policy that trusts the access points. Splitting into hundreds of buckets or ACLs is the trap.",least-ops,"one giant bucket policy (20 KB limit, unmanageable); separate bucket per app (breaks the single data lake); object ACLs (legacy, per-object); presigned URLs per app (temporary, not a policy model)",3,P2,new,,,B5.1 P2 长尾
aws-s3-deny-non-tls-mcq-41,mcq,D1,1.3,Amazon S3,S: encrypting data in transit (ACM using TLS),Reject any S3 request that is not over HTTPS - least ops,"Correct: bucket policy Deny s3:* with Condition Bool aws:SecureTransport false (and s3:TlsVersion for minimum TLS). SSE settings cover rest, not transit.",least-ops,"enable SSE-KMS (at rest); enable Block Public Access (exposure, not transport); require a VPC endpoint (private path, still may be HTTP); attach an ACM cert to the bucket (buckets cannot hold certs)",2,P0,new,,,B2.2 P0 新卡
aws-s3-replicate-existing-objects-mcq-46,mcq,D1,1.3,Amazon S3,S: implementing data backups and replications,Compliance copy in another Region incl. old objects and deletions - choose two,Correct pair: enable versioning on both buckets and create a CRR rule with delete-marker replication; run S3 Batch Replication (or Batch Operations copy) for pre-existing objects. Plain CRR copies only new writes; KMS objects need the key allowed.,choose-two,"enable CRR only (skips existing objects); Transfer Acceleration (upload speed, not copying); DataSync S3-to-S3 (works but no ongoing replication semantics/delete markers); lifecycle transition to another Region (lifecycle cannot move across Regions)",3,P1,new,,,B4.2 P1 新卡
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,D1,1.3,Amazon S3,S: encrypting data at rest (KMS),Need per-object decrypt audit trail and ability to revoke access to one dataset's key,"Correct: SSE-KMS with a customer-managed key (key policy you control, CloudTrail logs each Decrypt); enable S3 Bucket Keys to cut KMS request cost. SSE-S3 and AWS-managed keys give no revocation; SSE-C makes you ship keys.",most-secure,SSE-S3 (no per-key audit or revocation); SSE-KMS with the aws/s3 AWS-managed key (cannot edit its policy); SSE-C (client must send key each call); client-side encryption with an app-held key (no CloudTrail decrypt audit),2,P0,new,,,B1 黄金五张（MCQ，跑通流程）
aws-share-encrypted-ami-cross-account-mcq-38,mcq,D1,1.3,Amazon EC2,S: encrypting data at rest (KMS),Share an encrypted AMI/snapshot with another account - what must be true,Correct: the snapshot must be encrypted with a customer-managed KMS key whose key policy grants the target account kms:DescribeKey/ReEncrypt/CreateGrant/Decrypt; then share the snapshot/AMI with that account (it re-encrypts with its own key). AWS-managed aws/ebs keys cannot be shared; encrypted snapshots cannot be public.,least-change,share as-is with the aws/ebs key (unsupported); make the snapshot public (blocked for encrypted); copy unencrypted then share (violates encryption requirement); use RAM to share the KMS key (RAM does not share KMS keys),3,P1,new,,,B4.1 P1 新卡
aws-stale-credentials-audit-mcq-03,mcq,D1,1.3,IAM,S: best practices for IAM users and root users (MFA),Find users without MFA or with 90-day-old keys across 30 accounts - least ops,"Correct: Config managed rules (iam-user-mfa-enabled, access-keys-rotated) via an organization aggregator, or the IAM credential report per account; the org-wide, continuous answer is Config/Security Hub. Trusted Advisor covers MFA on root only at Basic tier.",least-ops,"download credential report from each account monthly (manual, not continuous); CloudTrail Insights (wrong feature: anomalies, not posture); Inspector (wrong service: vulnerabilities); GuardDuty (wrong service: threats)",2,P1,new,,moved: The correct answer is Config managed rules through an org aggregator / Security,B4.1 P1 新卡
aws-acm-certificates-and-cloudfront-region,service,D1,1.3,AWS Certificate Manager (ACM),R2 service: AWS Certificate Manager (ACM),"ACM: free public certificates for ALB/CloudFront/API Gateway, Regional, auto-renewal rules","ACM issues free public TLS certificates usable only on integrated services (ALB, NLB TLS, CloudFront, API Gateway, App Runner), never installed on EC2 directly; certificates are Regional except CloudFront which needs us-east-1. Auto-renews DNS-validated certs that are in use; imported certs and email-validated ones need manual renewal. ACM Private CA issues internal certs (paid).",,,2,P1,exists,aws-acm-certificates-and-cloudfront-region,Quality: add the renewal conditions and Private CA so the card also serves the 'renewing certificates' skill.,—
aws-artifact-service,service,D1,1.3,AWS Artifact,R2 service: AWS Artifact,"AWS Artifact: download AWS compliance reports (SOC, PCI, ISO) and accept agreements (BAA)",Artifact is the self-service portal for AWS's own audit reports and certifications and for accepting agreements such as the HIPAA BAA. It says nothing about your workload's compliance; for that use Security Hub standards or Config conformance packs. Trigger phrase: auditor asks for evidence of AWS's compliance.,,,1,P2,new,,,B5.1 P2 长尾
aws-backup-service,service,D1,1.3,AWS Backup,R2 service: AWS Backup,"AWS Backup: central backup plans, vaults, Vault Lock, cross-account/cross-Region copy","AWS Backup applies backup plans (schedule, retention, lifecycle to cold storage) to EBS, RDS/Aurora, DynamoDB, EFS, FSx, S3, EC2 and more by tag, stores recovery points in vaults, and Vault Lock (compliance mode) makes them undeletable even by admins; copies to other accounts/Regions for DR. Choose it whenever the stem says 'multiple services' or 'central policy' for backups.",,,1,P1,exists,aws-backup-service,,—
aws-cloudhsm-vs-kms,service,D1,1.3,AWS CloudHSM,R2 service: AWS CloudHSM,"CloudHSM: single-tenant FIPS 140-2 L3 HSM cluster, your keys, KMS custom key store","CloudHSM is a dedicated HSM cluster in your VPC where only you hold the keys (AWS cannot recover them); FIPS 140-2 Level 3, supports PKCS#11/JCE/KSP for Oracle TDE, SSL offload, custom PKI. Use as a KMS custom key store when AWS services must use HSM-held keys. Choose KMS unless the stem says single-tenant, own the HSM, Level 3, or a non-AWS crypto API.",,,2,P1,exists,aws-cloudhsm-vs-kms,,—
aws-cloudtrail-service,service,D1,1.3,AWS CloudTrail,R2 service: AWS CloudTrail,"CloudTrail: API audit log; organization trail, data vs management events, log integrity","CloudTrail records who called which API; management events are on by default (90 days in event history), data events (S3 object, Lambda invoke) and Insights cost extra. Use an organization trail delivering to a locked-down S3 bucket with log file validation for tamper evidence. Not for resource configuration history (Config) or metrics (CloudWatch).",,,1,P1,partial,aws-cloudtrail-vs-config-vs-cloudwatch,"Live card is the three-way comparison; missing org trail, data vs management events, log file validation, and CloudTrail Lake.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-config-rules-remediation,service,D1,1.3,AWS Config,R2 service: AWS Config,"AWS Config: configuration history, rules, conformance packs, auto-remediation","Config records resource configuration over time, evaluates managed/custom rules (encrypted-volumes, restricted-ssh, s3-bucket-public-read-prohibited) and remediates through SSM Automation; aggregators give an org-wide view. It is detective, not preventive: pair with SCPs for prevention.",,,2,P1,exists,aws-config-rules-remediation,"Quality: add that Config is a prerequisite for Firewall Manager and Security Hub, and note per-rule-evaluation pricing.",—
aws-kms-service,service,D1,1.3,AWS KMS,R2 service: AWS KMS,"KMS: key types, key policy vs grants, symmetric/asymmetric, Regional, limits, pricing","KMS is the Regional managed key service every AWS encryption integration uses: key types (AWS-owned, AWS-managed, customer-managed), symmetric (default) or asymmetric/HMAC keys, access via key policy first then IAM (if the key policy delegates), grants for service use, 4 KB direct-encrypt limit (envelope for larger), scheduled deletion 7-30 days, multi-Region keys for cross-Region decrypt. Choose customer-managed keys for audit, revocation, cross-account or rotation control.",,,2,P0,partial,aws-kms-key-rotation-and-multi-region,"Live card covers rotation and multi-Region only; missing key-type taxonomy, key policy vs IAM vs grants, size limit, deletion window, pricing.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-macie-service,service,D1,1.3,Amazon Macie,R2 service: Amazon Macie,Macie: ML discovery of sensitive data in S3 plus bucket exposure findings,"Macie inventories S3 buckets, flags public/unencrypted/shared buckets, and runs discovery jobs with managed and custom data identifiers to find PII, credentials and financial data; findings go to Security Hub/EventBridge. Only S3. Choose it for 'find/classify sensitive data', not for threat detection or DLP on network traffic.",,,1,P1,partial,aws-guardduty-inspector-macie-detective,"Live card gives Macie one clause; service card must add discovery jobs, custom identifiers, bucket-level findings and the S3-only scope.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-security-hub-service,service,D1,1.3,AWS Security Hub,R2 service: AWS Security Hub,Security Hub: aggregate findings and run CIS/PCI/FSBP standards across the org,"Security Hub collects findings from GuardDuty, Inspector, Macie, Config, Firewall Manager and partners into one ASFF feed, runs security standards checks and scores each account, aggregates across Regions/accounts with a delegated admin, and triggers automated response through EventBridge. It does not detect or scan itself; needs Config.",,,1,P2,new,,,B5.1 P2 长尾
aws-data-access-governance-concept,concept,D1,1.3,Amazon S3,K: Data access and governance,"Data governance toolkit: Block Public Access, Access Analyzer, data events, ABAC, Macie","Governance is 'who can reach data and can we prove it': S3 Block Public Access and Access Analyzer stop and detect exposure, CloudTrail data events log object-level reads, tag-based (ABAC) policies scope access by classification, Macie discovers sensitive data, and Lake Formation centralises table/column grants for analytics. Prevent, detect, prove.",,,2,P1,partial,aws-iam-access-analyzer-credential-report,"Live card covers external-access findings only; missing data-event logging, tag-based scoping and classification-driven controls.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-data-recovery-concept,concept,D1,1.3,AWS Backup,K: Data recovery,"Data recovery ladder: versioning, PITR, snapshots, Vault Lock, cross-Region copies","Match recovery need to mechanism: accidental overwrite/delete = S3 versioning or DynamoDB/RDS PITR (35 days max), image of a point in time = snapshot, protection from a malicious admin = Backup Vault Lock / Object Lock, loss of a Region = cross-Region copy. RPO is set by backup frequency; the exam's 'even an administrator cannot delete' phrase means vault lock or Object Lock compliance mode.",,,2,P1,partial,aws-backup-service,Live card is AWS Backup only; the concept card must give the ladder from versioning to PITR to immutable vaults and the RPO link.,B3 修补 partial 卡（补角度/补 usage/改难度）
aws-data-retention-classification-concept,concept,D1,1.3,Amazon S3,K: Data retention and classification,"Retention and classification: Object Lock, lifecycle expiry, log retention, Macie","Retention floors come from Object Lock (S3) or Glacier Vault Lock (legal hold and retention periods); retention ceilings come from lifecycle expiration and CloudWatch Logs retention settings. Classification is tags plus Macie discovery, then ABAC policies and separate KMS keys per class.",,,2,P1,partial,aws-s3-object-lock-worm,"Live card covers only Object Lock modes; missing expiry-side controls, Glacier Vault Lock, log retention, and classification-to-control mapping.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-encryption-key-management-concept,concept,D1,1.3,AWS KMS,K: Encryption and appropriate key management,"Encryption map: at rest vs in transit, KMS key types, CloudHSM, ACM, client-side","At rest: KMS keys (AWS-owned: free and invisible; AWS-managed aws/service: rotated yearly, no policy control; customer-managed: your key policy, rotation and cross-account use) or CloudHSM for single-tenant FIPS 140-2 Level 3. In transit: ACM certificates on ALB/CloudFront/API Gateway, TLS to RDS, VPN/MACsec for links. Pick customer-managed whenever the stem says audit, revoke, cross-account or own policy.",,,2,P0,partial,aws-kms-envelope-encryption,"Live card explains envelope encryption mechanics; missing the key-type taxonomy, in-transit half and the 'which key type when' decision rule. | overlaps aws-kms-service: write it from a different angle/scenario (Both P0 D1 cards teach the AWS-owned / AWS-managed / customer-managed )",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-ebs-encryption-default,pattern,D1,1.3,Amazon EBS,R3 pattern: EBS encryption by default,EBS: encryption by default per Region; encrypt existing volumes through snapshot copy,"Enable 'encryption by default' per Region so every new volume/snapshot copy uses the chosen KMS key; existing unencrypted volumes are fixed by snapshot, copy-with-encryption, create volume, swap. Encrypted snapshots can only be shared with a customer-managed key.",,,2,P1,exists,aws-ebs-encryption-default,,—
aws-kms-envelope-encryption,pattern,D1,1.3,AWS KMS,R3 pattern: envelope encryption,"Envelope encryption: GenerateDataKey, encrypt locally, store wrapped key with data","KMS encrypts at most 4 KB directly, so services call GenerateDataKey, encrypt data locally with the plaintext data key, discard it, and store the KMS-wrapped copy alongside the ciphertext; decrypt reverses it with one KMS call per object.",,,3,P1,exists,aws-kms-envelope-encryption,,—
aws-kms-key-policy-grants,pattern,D1,1.3,AWS KMS,R3 pattern: access policies for encryption keys,KMS key policy vs IAM vs grants; cross-account use; kms:ViaService; admin/user split,"The key policy is the root of access: the default policy delegates to IAM in the same account ('Enable IAM User Permissions'); without that statement IAM policies do nothing. Cross-account use needs the key policy to allow the external account AND an identity policy there. Grants give services temporary use (EBS, RDS). Separate key administrators (kms:Create*/Put*/Schedule*) from key users (Encrypt/Decrypt/GenerateDataKey); restrict use to a service with kms:ViaService.",,,2,P0,new,,,B2.5 P0 新卡
aws-kms-key-rotation-and-multi-region,pattern,D1,1.3,AWS KMS,R3 pattern: rotating encryption keys,KMS rotation: which key types rotate automatically; multi-Region keys avoid re-encrypt,"Automatic rotation (yearly by default, configurable 90-2560 days) applies to customer-managed symmetric keys with KMS-generated material; AWS-managed keys rotate yearly; imported, asymmetric, HMAC and custom-key-store keys need manual rotation via a new key and alias swap. Old material is kept so nothing is re-encrypted. Multi-Region keys share material so a replica Region can decrypt.",,,2,P1,exists,aws-kms-key-rotation-and-multi-region,,—
aws-rds-encryption-and-iam-auth,pattern,D1,1.3,Amazon RDS,R3 pattern: RDS encryption at rest and IAM database authentication,RDS: encrypt an existing instance via snapshot copy; IAM DB auth without passwords,"Encryption cannot be turned on in place: snapshot, copy the snapshot with a KMS key, restore, repoint. Encrypted instances have encrypted replicas/snapshots. IAM database authentication issues 15-minute tokens for MySQL/PostgreSQL so apps use their role instead of a stored password.",,,2,P1,exists,aws-rds-encryption-and-iam-auth,,—
aws-s3-block-public-access,pattern,D1,1.3,Amazon S3,R3 pattern: S3 Block Public Access,Block Public Access: account and bucket level overrides any public policy or ACL,"Block Public Access settings at account level override bucket level; when on, PutBucketPolicy with a public grant is rejected and existing public grants are ignored. Turn it off only for the specific bucket that must be public, or better serve it through CloudFront with OAC.",,,1,P1,exists,aws-s3-block-public-access,,—
aws-s3-cross-region-replication,pattern,D1,1.3,Amazon S3,R3 pattern: S3 replication for compliance copies,"CRR/SRR: versioning both sides, role, Batch Replication for old objects, delete markers","Replication requires versioning on source and destination and a role; it copies new objects only, so historic data needs S3 Batch Replication; delete-marker replication is opt-in; KMS-encrypted objects need the key allowed for the role; use Replication Time Control for a 15-minute SLA.",,,2,P1,exists,aws-s3-cross-region-replication,,—
aws-s3-encryption-options-sse,pattern,D1,1.3,Amazon S3,R3 pattern: S3 server-side encryption options,"SSE-S3 vs SSE-KMS vs SSE-C vs DSSE and client-side: audit, control and cost","SSE-S3 is default and free; SSE-KMS adds key policies, CloudTrail per-decrypt audit and revocation but KMS request costs (mitigate with S3 Bucket Keys); SSE-C means you send the key each request; client-side means S3 never sees plaintext. Enforce a choice with a bucket policy on s3:x-amz-server-side-encryption.",,,2,P1,exists,aws-s3-encryption-options-sse,,—
aws-s3-object-lock-worm,pattern,D1,1.3,Amazon S3,R3 pattern: S3 Object Lock,"Object Lock: compliance vs governance mode, retention periods, legal holds",Object Lock (needs versioning) makes object versions WORM: compliance mode cannot be shortened or removed by anyone including root until retention ends; governance mode can be bypassed by principals with s3:BypassGovernanceRetention; legal hold is indefinite until removed.,,,2,P1,exists,aws-s3-object-lock-worm,,—
aws-s3-versioning-and-mfa-delete,pattern,D1,1.3,Amazon S3,R3 pattern: S3 versioning and MFA delete,Versioning makes deletes recoverable; MFA delete requires root plus MFA to purge versions,"With versioning, a delete adds a delete marker and old versions stay; MFA delete (root user, CLI only) requires an MFA code to permanently delete a version or change the versioning state, so stolen credentials cannot wipe data.",,,1,P1,exists,aws-s3-versioning-and-mfa-delete,,—
aws-tls-in-transit-pattern,pattern,D1,1.3,AWS Certificate Manager (ACM),R3 pattern: AWS Certificate Manager [ACM] using TLS,"TLS everywhere: terminate at the edge, re-encrypt to targets, force TLS on S3/RDS/APIs","Terminate TLS with an ACM cert on CloudFront/ALB/NLB/API Gateway; for end-to-end encryption use an HTTPS target group (self-signed certs on instances are accepted by ALB) or NLB TLS passthrough. Force TLS on S3 with a Deny on aws:SecureTransport=false, on RDS with rds.force_ssl / require_secure_transport, and on links with VPN or MACsec. ACM certs never go on EC2.",,,2,P0,new,,,B2.5 P0 新卡
aws-45-minute-job-not-lambda-mcq-15,mcq,D2,2.1,Lambda,Determining when to use serverless technologies and patterns,"Nightly 45-minute batch job, runs once a day; least ops",Run it as an ECS Fargate task (or AWS Batch on Fargate) started by an EventBridge Scheduler rule; no host to manage and no runtime ceiling.,least-ops,violates constraint: Lambda stops at 15 minutes; violates qualifier: an EC2 instance with cron must be patched and runs idle; plausible but over-engineered: splitting into Lambda chunks orchestrated by Step Functions adds complexity the requirement never asked for,2,P0,new,,,B1 黄金五张（MCQ，跑通流程）
aws-amazon-mq-jms-no-code-change-mcq-11,mcq,D2,2.1,Amazon MQ,Determining the AWS services required to achieve loose coupling,On-prem app uses ActiveMQ/JMS and cannot be changed; migrate the broker,Amazon MQ (ActiveMQ) active/standby across two AZs; the app keeps its JMS/OpenWire client and endpoints change only in config.,least-change,"violates constraint: SQS requires rewriting the messaging code; wrong service: SNS is push fan-out, no JMS; wrong service: Kinesis Data Streams is a streaming service with a different API",1,P1,new,,,B4.2 P1 新卡
aws-asg-predictable-daily-spike-mcq-05,mcq,D2,2.1,Auto Scaling,Determining scaling strategies for components,"Known 9 am spike, reactive scaling too slow; most performant at least cost","Add a scheduled scaling action (or predictive scaling) that raises desired capacity before 9 am and lowers it after, keeping target tracking for the rest of the day; capacity is ready before the load arrives.",most-performant,violates qualifier: lowering the target-tracking CPU threshold still reacts after load arrives and over-provisions all day; right service wrong feature: a warm pool shortens launch time but still waits for the alarm; violates qualifier: running peak capacity 24x7 meets performance but not cost,2,P0,new,,,B2.2 P0 新卡
aws-asg-scale-workers-on-queue-mcq-06,mcq,D2,2.1,Auto Scaling,Determining scaling strategies for components,Worker fleet consuming SQS falls behind; scale on the right metric,"Target tracking on a custom backlog-per-instance metric (ApproximateNumberOfMessagesVisible / running instances) so workers scale with queue depth, not CPU.",most-performant,right service wrong feature: CPU target tracking misses I/O-bound workers idling while the queue grows; violates constraint: scheduled scaling cannot follow unpredictable producer bursts; wrong metric: step scaling on NetworkIn measures the wrong thing,2,P1,new,,overlaps aws-queue-backlog-per-instance-mcq-08: write it from a different angle/scenario (Identical decision (target tracking on ApproximateNumberOfMessagesVisi),B4.2 P1 新卡
aws-eventbridge-content-routing-saas-mcq-03,mcq,D2,2.1,EventBridge,"Designing event-driven, microservice, multi-tier architectures",Order events to five services with different filters plus a SaaS endpoint; least ops,EventBridge custom bus with one rule per consumer (content filtering on the event body) and an API destination for the SaaS partner; producers PutEvents once and never know consumers.,least-ops,wrong service: SNS filter policies work for AWS targets but the SaaS API destination and schema registry need EventBridge; violates qualifier: one SQS queue per consumer written to by the producer couples producer to every consumer; wrong service: Kinesis Data Streams needs consumer apps and shard management for a low-volume routing job,2,P1,new,,,B4.2 P1 新卡
aws-helm-charts-portable-cluster-mcq-13,mcq,D2,2.1,EKS,Determining when to use containers,Team has Helm charts and must keep on-prem portability,Amazon EKS (managed node groups or Fargate profiles): certified Kubernetes so charts and manifests run unchanged and remain portable.,least-change,"violates constraint: ECS Fargate is not Kubernetes, charts must be rewritten as task definitions; violates constraint: Lambda container images abandon the orchestration model; violates constraint: Elastic Beanstalk multi-container Docker is ECS underneath",1,P0,new,,spec note: Keep as the EKS keyword overlay on aws-eks-vs-ecs at d1; relabel qualifier to 'which service'.,B2.3 P0 新卡
aws-java-monolith-to-containers-mcq-14,mcq,D2,2.1,ECS,Determining when to use containers,"Containerise a Java monolith with in-memory sessions, minimal rework; choose two","(1) Use AWS App2Container to build the image and ECS task definition, push to ECR, run on ECS Fargate behind an ALB; (2) move session state to ElastiCache Redis (or enable ALB stickiness as the interim) so tasks are stateless and can scale.",choose-two,"violates qualifier: rewriting as Lambda functions is a refactor, not containerisation; violates constraint: rehosting on EC2 with MGN is not containers; violates constraint: EKS Anywhere keeps it on-prem hardware the question wants to leave",3,P1,new,,,B4.2 P1 新卡
aws-lambda-critical-function-throttled-mcq-17,mcq,D2,2.1,Lambda,Determining when to use serverless technologies and patterns,Payment function throttled by a noisy batch function in the same account,Set reserved concurrency on the payment function (a guaranteed slice of the account pool) and optionally cap the batch function's reserved concurrency.,most-available,"right service wrong feature: provisioned concurrency removes cold starts, it does not guarantee capacity against the account limit; wrong lever: raising the timeout changes nothing about concurrency; violates constraint: moving the function to another Region changes the architecture and latency",2,P1,new,,,B4.2 P1 新卡
aws-lambda-sqs-batch-partial-failure-mcq-10,mcq,D2,2.1,Lambda,Determining the AWS services required to achieve loose coupling,One bad record makes Lambda reprocess the whole SQS batch; most efficient fix,Enable ReportBatchItemFailures on the event source mapping and return the failed message IDs; only those messages return to the queue.,most-performant,"violates qualifier: batch size 1 works but multiplies invocations and cost; wrong feature: a longer visibility timeout delays the retry, still whole-batch; wrong feature: a DLQ on the queue catches the poison message after maxReceiveCount but the good nine are still reprocessed each time",2,P1,partial,aws-lambda-event-source-mappings-sqs-batching,"Concept card fully teaches this spec's answer: event source mapping poll model, batch size / batching window / 6 MB triggers, whole-batch retry, ReportBatchItemFailures, idempotent handlers. Spec is mcq kind, so the scenario overlay with distractors (batch size 1, DLQ, visibility timeout) is still missing.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-order-queue-between-tiers-mcq-01,mcq,D2,2.1,SQS,"Designing event-driven, microservice, multi-tier architectures",Web tier must not lose orders when slow backend spikes; least ops,"Put an SQS standard queue between the web tier and worker ASG and scale workers on queue depth; the queue absorbs spikes and retries via visibility timeout, so no order is lost while the backend catches up.",least-ops,wrong service: SNS pushes directly with no buffer so slow consumers drop messages; right service wrong feature: Kinesis Data Streams buffers but needs shard sizing and ordering the case never asked for; violates qualifier: vertically scaling the worker instance keeps the coupling and a ceiling,2,P0,new,,,B2.2 P0 新卡
aws-order-workflow-with-human-wait-mcq-21,mcq,D2,2.1,Step Functions,Using purpose-built AWS services for workloads,Multi-step order flow with retries and a 2-day human approval; least code,Step Functions Standard workflow with Retry/Catch per state and .waitForTaskToken for the approval; execution can pause up to a year.,least-ops,violates qualifier: chaining Lambda functions re-implements retries and state; violates constraint: SQS between steps cannot hold a callback token for days without custom bookkeeping; right service wrong feature: Express workflows cap at 5 minutes,2,P1,new,,,B4.2 P1 新卡
aws-rds-reporting-read-replica-mcq-07,mcq,D2,2.1,RDS,Determining scaling strategies for components,Reporting queries slow the production RDS writer; least change,Create a read replica and point the reporting tool at its endpoint; reads leave the writer with no schema or code change beyond a connection string.,least-change,right service wrong feature: Multi-AZ standby cannot serve reads; violates qualifier: ElastiCache needs application code to read/write the cache; violates qualifier: a larger instance class means a failover/reboot window and does not separate the workloads,2,P0,new,,,B2.2 P0 新卡
aws-s3-upload-fanout-processing-mcq-02,mcq,D2,2.1,SNS,"Designing event-driven, microservice, multi-tier architectures","S3 uploads must trigger three independent processors, each retriable; most resilient","S3 event notification -> SNS topic -> one SQS queue per processor -> Lambda/ECS consumers: each consumer has its own buffer, retries and DLQ, and adding a fourth processor changes nothing upstream (EventBridge with three rules is the equivalent answer).",most-available,violates qualifier: one Lambda invoked directly by S3 doing all three steps couples them and one failure blocks the rest; right service wrong feature: a single SQS queue means one consumer group so processors compete for the same message; violates constraint: cron job listing the bucket every minute adds latency and misses nothing only by luck,2,P0,new,,"overlaps aws-fanout-independent-consumers-mcq-06: write it from a different angle/scenario (Same answer (SNS to SQS per processor, each with own retry/DLQ) and sa)",B2.2 P0 新卡
aws-scale-to-zero-low-traffic-api-mcq-16,mcq,D2,2.1,Lambda,Determining when to use serverless technologies and patterns,New API with hours of zero traffic; least cost,API Gateway HTTP API + Lambda + DynamoDB on-demand: every layer bills per request and idles at zero.,least-cost,violates qualifier: ALB + EC2 ASG has a minimum instance and hourly ALB charge; violates qualifier: ECS Fargate service keeps at least one task running; violates qualifier: provisioned Aurora bills every hour (Aurora Serverless v2 no longer scales to zero either),1,P0,new,,spec note: Rewrite the Aurora distractor as 'provisioned Aurora bills every hour; Serverless v2 only reaches zero with auto-pause c,B2.3 P0 新卡
aws-session-store-behind-alb-mcq-20,mcq,D2,2.1,ElastiCache,"Recommending compute, storage, networking, database technologies",Users lose sessions on scale-in behind an ALB; most performant without sticky sessions,"Externalise sessions to ElastiCache for Redis with Multi-AZ auto-failover (sub-millisecond, survives node loss); DynamoDB with TTL is the serverless alternative when latency is less critical.",most-performant,"violates qualifier: ALB sticky sessions pin users and lose them when the target dies; wrong service: RDS adds milliseconds per request for key-value reads; wrong service: EFS is a file system, not a session cache",2,P1,new,,,B4.2 P1 新卡
