uid,kind,domain,topic,difficulty,fragment,position,order_in_deck,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-claude-md-scope-levels,concept,D2,D2 Applications & integration,d1,D2b.md,76,760,https://code.claude.com/docs/en/memory,"Managed policy paths macOS /Library/Application Support/ClaudeCode/CLAUDE.md, Linux /etc/claude-code/CLAUDE.md; ~/.claude/CLAUDE.md; ./CLAUDE.md or ./.claude/CLAUDE.md; ./CLAUDE.local.md gitignored; load order broadest to most specific; cwd and ancestors loaded at launch, concatenated root-down, subdirectories on demand; /init generates starting file.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-settings-file-scopes,concept,D2,D2 Applications & integration,d1,D2b.md,77,770,https://code.claude.com/docs/en/settings,"Four files + managed: user ~/.claude/settings.json, shared project .claude/settings.json (commit), project local .claude/settings.local.json (Claude Code writes standing approvals, adds to global git excludes), managed (managed-settings.json, MDM, claude.ai console) not overridable apart from security-sensitive exceptions; strict JSON, comment/trailing comma = Settings Error.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-limits-numbers,feature,D2,D2 Applications & integration,d2,D2b.md,78,780,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/api/overview | https://platform.claude.com/docs/en/about-claude/pricing,"100,000 requests or 256 MB whichever first; 413 request_too_large over 256 MB; 50% of standard prices on input, output, special tokens; Opus 5 batch $2.50/$12.50 per MTok (as of 2026-09); discounts stack with prompt caching; most batches < 1 hour, 24-hour expiry; results 29 days; workspace-scoped; max_tokens >= 1; may go slightly over spend limit.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-unsupported-params,feature,D2,D2 Applications & integration,d2,D2b.md,79,790,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"stream: true, speed (fast mode), max_tokens: 0 return validation error in batch; what can be batched: vision, tool use incl. all server tools, system, multi-turn, extended thinking, most betas; extended output beta output-300k-2026-03-24 raises max_tokens to 300,000 on Opus 5/4.8/4.7/4.6, Sonnet 5/4.6, batch only, Claude API and Claude Platform on AWS only, not Bedrock/Google Cloud/Foundry.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"Stem said ""The batch is rejected""; batch-processing page states params validation is asynchronous and errors are returned when processing of the whole batch has ended, so the request surfaces as an errored result. Stem and A corrected; A trimmed to 118 words. All other numbers re-verified (300,000 max_tokens, output-300k-2026-03-24, model list, Claude API + Claude Platform on AWS only)."
ccdvf-files-limits-expiration,feature,D2,D2 Applications & integration,d2,D2b.md,80,800,https://platform.claude.com/docs/en/build-with-claude/files | https://platform.claude.com/docs/en/manage-claude/api-and-data-retention,"500 MB per file (413), 1 TB per organization (400 storage limit exceeded), filename 1-255 chars, ~500 requests per minute; expires_in_seconds 3,600 to 7,776,000; expires_at RFC 3339 null when none; after expiry content GET 404, Messages request fails before inference, metadata readable up to 30 days, still listed; expiration not a guaranteed-deletion control, content may be retained for safety review; Files API not ZDR eligible.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-bedrock-messages-endpoint,feature,D2,D2 Applications & integration,d2,D2b.md,81,810,https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock | https://platform.claude.com/docs/en/build-with-claude/claude-platform-on-aws,"pip install anthropic[bedrock]; AnthropicBedrockMantle(aws_region); endpoint https://bedrock-mantle.{region}.api.aws/anthropic/v1/messages, standard SSE, same body shape; anthropic. prefix IDs; AWS credential precedence; service role recommended, IAM assumed roles 12-hour max, bearer tokens 12-hour max least preferred via x-api-key; features not supported list (structured outputs, input sources incl. Files, server-side tools, Skills/MCP connector/PTC, Batches/Models/Admin endpoints, Managed Agents, server-side fallback); anthropic-beta header not supported (comparison table); global no premium, regional 10% premium.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-vertex-request-differences,feature,D2,D2 Applications & integration,d2,D2b.md,82,820,https://platform.claude.com/docs/en/build-with-claude/claude-on-vertex-ai | https://platform.claude.com/docs/en/api/overview,"model in endpoint URL not body; anthropic_version in body = vertex-2023-10-16; AnthropicVertex(project_id, region); gcloud auth application-default login; rawPredict URL; IDs dateless for 4.6+, @date for older; global/multi-region (us, eu)/regional endpoints; regional and multi-region 10% premium; global pay-as-you-go only; provisioned throughput requires regional; 30 MB payload limit; not supported: input sources incl. Files, code execution/web fetch/advisor, Skills/MCP/PTC, Batches etc.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-foundry-deployment-and-auth,feature,D2,D2 Applications & integration,d2,D2b.md,83,830,https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry,"model parameter = deployment name, defaults to model ID, cannot be changed after creation; endpoint https://{resource}.services.ai.azure.com/anthropic/v1/*; api-key or x-api-key header, or Authorization: Bearer Entra ID token (expire ~1 hour), RBAC Foundry User; env ANTHROPIC_FOUNDRY_API_KEY / _RESOURCE / _BASE_URL, resource and base_url mutually exclusive; Hosted on Azure vs Hosted on Anthropic table; US Data Zone Standard; hosted-on-Azure unsupported features return 400; Batches and Models API not supported on Foundry.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-settings-precedence,feature,D2,D2 Applications & integration,d2,D2b.md,84,840,https://code.claude.com/docs/en/settings | https://code.claude.com/docs/en/hooks,"Precedence: managed > --settings command line > .claude/settings.local.json > .claude/settings.json > ~/.claude/settings.json; --settings cannot override managed; list keys (permissions.allow) merge; hooks merge across levels (hooks page); fallbackModel/modelPicker/availableModels whole-value rules; env vars not a level, ANTHROPIC_MODEL overrides model from any file, --model overrides both; /status Setting sources.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-plugin-dependency-version-constraints,feature,D2,D2 Applications & integration,d2,D2b.md,85,850,https://code.claude.com/docs/en/plugin-dependencies,"dependencies array in .claude-plugin/plugin.json; bare string or object {name, version, marketplace}; semver ranges ~2.1.0 ^2.0 >=1.4 =2.1.0; tags {plugin-name}--v{version}; claude plugin tag --push; highest satisfying tag; ranges intersected, range-conflict; auto-update within range; enabling enables deps, disabling refused while required; claude plugin prune; allowCrossMarketplaceDependenciesOn.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-cache-seed-1h,pattern,D2,D2 Applications & integration,d2,D2b.md,86,860,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"Batch cache hits best-effort (concurrent, any order); FAQ pattern: single-request batch with 1-hour cache block, then submit rest after it completes; 1h write 2x base input, cache read 0.1x (0.025x on Fable 5.1 / Mythos 5.1); ttl 1h syntax; discounts stack; max_tokens: 0 rejected in batch; maintain steady stream to avoid 5-minute expiry.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-error-triage,pattern,D2,D2 Applications & integration,d2,D2b.md,87,870,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"errored with invalid_request_error: request body must be fixed before re-sending; other errors can be retried directly (python sample); expired: unbilled, resubmit; failure of one request does not affect others; dry run a single request shape with the Messages API to avoid validation errors; validation asynchronous.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-files-vs-base64-vs-url,pattern,D2,D2 Applications & integration,d2,D2b.md,88,880,https://platform.claude.com/docs/en/build-with-claude/files | https://platform.claude.com/docs/en/build-with-claude/pdf-support | https://platform.claude.com/docs/en/build-with-claude/vision | https://platform.claude.com/docs/en/build-with-claude/token-counting | https://platform.claude.com/docs/en/api/overview | https://platform.claude.com/docs/en/manage-claude/api-and-data-retention,"Three sources; Bedrock/Google Cloud base64 only; token counting base64 only; request caps 32/20/30 MB; file_id for repeated use and multi-turn; Files free ops, input tokens billed; workspace visibility; Files not ZDR eligible.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-aws-bedrock-vs-claude-platform,pattern,D2,D2 Applications & integration,d3,D2b.md,89,890,https://platform.claude.com/docs/en/build-with-claude/claude-platform-on-aws | https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock,"Comparison table: operator Anthropic vs AWS; API surface /v1/{endpoint} vs /anthropic/v1/messages; feature availability same-day vs Bedrock schedule; Skills available (beta) vs not; beta headers pass through vs not supported; billing AWS Marketplace vs native AWS; separate capacity pool, fail over; when to choose Bedrock: FedRAMP High, IL4, IL5, HIPAA-ready, AWS sole data processor; Claude Platform on AWS uses Claude API IDs and lifecycle; Batches/Files available on Claude Platform on AWS (Files beta).",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"Files API is beta on Claude Platform on AWS (Features overview availability column: claudePlatformAwsBeta), card said only Skills was beta; wording changed to ""Files (beta) and Skills (beta)"". Comparison-table facts, FedRAMP High/IL4/IL5/HIPAA-ready, separate capacity pools, CCU billing re-verified."
ccdvf-foundry-hosting-option-choice,pattern,D2,D2 Applications & integration,d2,D2b.md,90,900,https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry | https://platform.claude.com/docs/en/build-with-claude/overview,"Hosting options table; Hosted on Azure: Anthropic-operated on Azure infra, latest Opus/Sonnet/Haiku, Global Standard + US Data Zone Standard, recommended for most workloads; prompts/completions remain within Azure, only usage metadata and flagged content egress; features unsupported when hosted on Azure: code execution, web search/fetch versions later than web_search_20250305 / web_fetch_20250910, Agent Skills, PTC, Files API; 400 by design; Hosted on Anthropic: all models, Global Standard only; CCU billing via Azure Marketplace; Batches and Models API unsupported; no anthropic-ratelimit headers.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-model-upgrade-as-release,pattern,D2,D2 Applications & integration,d2,D2b.md,91,910,https://platform.claude.com/docs/en/about-claude/model-deprecations | https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions | https://platform.claude.com/docs/en/build-with-claude/token-counting | https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock,"At least 60 days notice; usage audit via Console Usage export CSV; test with newer models well before retirement; temperature/top_p/top_k deprecated, 400 on 4.7+ for non-default values; 4.7+ tokenizer ~30 percent more tokens; /claude-api migrate skill in Claude Code applies model ID swaps and breaking parameter changes per platform; IDs are pinned snapshots.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-claude-code-model-pin-third-party,pattern,D2,D2 Applications & integration,d2,D2b.md,92,920,https://code.claude.com/docs/en/model-config,"Aliases resolve to built-in default per provider, may lag and may not be enabled in account on Bedrock/Google Cloud; pin with ANTHROPIC_DEFAULT_OPUS/SONNET/HAIKU/FABLE_MODEL using provider IDs (us.anthropic.claude-opus-4-8, us.anthropic.claude-sonnet-4-5-20250929-v1:0 recognized example); [1m] suffix stripped before send; modelOverrides maps Anthropic IDs to inference profile ARNs / deployment names; availableModels allowlist; setting-model priority /model > --model > ANTHROPIC_MODEL > settings model > ANTHROPIC_DEFAULT_MODEL.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-config-instruction-vs-enforcement,pattern,D2,D2 Applications & integration,d3,D2b.md,93,930,https://code.claude.com/docs/en/memory | https://code.claude.com/docs/en/permissions | https://code.claude.com/docs/en/settings,"CLAUDE.md under 200 lines; .claude/rules/ with paths frontmatter load when matching files read; skills for task-specific procedures; settings permissions.deny enforced by client, CLAUDE.md not hard enforcement; claudeMdExcludes glob patterns in .claude/settings.local.json, arrays merge across layers; managed policy CLAUDE.md cannot be excluded; Edit(path) deny rule syntax, deny rules match a single-segment directory at any depth (permissions page).",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-claude-md-hierarchy,feature,D3,D3 Claude Code,d1,D3.md,94,940,https://code.claude.com/docs/en/memory,"Four scopes and paths: managed policy /Library/Application Support/ClaudeCode/CLAUDE.md (macOS) and /etc/claude-code/CLAUDE.md (Linux/WSL); user ~/.claude/CLAUDE.md; project ./CLAUDE.md or ./.claude/CLAUDE.md; local ./CLAUDE.local.md (add to .gitignore). Loads cwd and every directory above at launch, concatenated root-down so the closest file is read last; subdirectory files load when Claude reads files there. @path imports expand at launch, maximum depth four hops. 'Claude treats them as context, not enforced configuration.' Size target under 200 lines. Confirm with /context Memory files.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-init-repository,concept,D3,D3 Claude Code,d1,D3.md,95,950,https://code.claude.com/docs/en/memory,"/init generates a starting CLAUDE.md with build commands, test instructions and conventions; if one exists it suggests improvements rather than overwriting. /init reads Cursor rules (.cursor/rules/ or .cursorrules) and Copilot rules (.github/copilot-instructions.md). CLAUDE_CODE_NEW_INIT=1 enables the interactive multi-phase flow. Confirm load via /context under Memory files. Target under 200 lines. Also https://code.claude.com/docs/en/commands (/init row).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-rules-path-scoped,concept,D3,D3 Claude Code,d1,D3.md,96,960,https://code.claude.com/docs/en/memory,".claude/rules/ .md files discovered recursively; rules without paths frontmatter load at launch with the same priority as .claude/CLAUDE.md; paths frontmatter globs (brace expansion allowed) load the rule when Claude reads matching files; ~/.claude/rules/ user rules load before project rules. Compaction: 'Path-scoped rules and nested CLAUDE.md files load into message history when their trigger file is read, so compaction summarizes them away' (https://code.claude.com/docs/en/context-window).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-skills-progressive-disclosure,concept,D3,D3 Claude Code,d1,D3.md,97,970,https://code.claude.com/docs/en/skills,"Locations .claude/skills/<name>/SKILL.md and ~/.claude/skills/<name>/SKILL.md. At startup only descriptions load; full SKILL.md enters context on invocation and stays across later turns. description + when_to_use truncated at 1,536 characters. disable-model-invocation: true = only you can invoke; user-invocable: false = only Claude. Supporting files load when Claude follows the link. allowed-tools grant applies to the invoking turn; argument-hint field.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","A: added that disable-model-invocation also keeps the description out of context (skills.md: ""Description not in context, full skill loads when you invoke""; context-window.md startup listing note)."
ccdvf-cc-custom-slash-command-arguments,concept,D3,D3 Claude Code,d1,D3.md,98,980,https://code.claude.com/docs/en/skills,"Directory name becomes /<name>; $ARGUMENTS, $0/$1 (shell-style quoting), arguments: [issue, branch] frontmatter -> $issue $branch; legacy .claude/commands/<name>.md still works and creates the same command; !`command` dynamic context injection runs before content reaches Claude; allowed-tools pre-approves during the invoking turn only; plugin skills namespaced /plugin-name:skill-name. Cross-check https://code.claude.com/docs/en/commands (custom commands section).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-subagent-definition-file,concept,D3,D3 Claude Code,d1,D3.md,99,990,https://code.claude.com/docs/en/sub-agents,".claude/agents/ (project) and ~/.claude/agents/ (user); name and description required; tools allowlist inherits all if omitted; model sonnet|opus|haiku|fable|full id|inherit; permissionMode, maxTurns, skills, memory optional. Claude uses description to decide when to delegate. Startup context: own system prompt, CLAUDE.md hierarchy (Explore/Plan skip it), preloaded skills, delegation prompt; conversation history not passed; returns summary. Name conflict priority managed > --agents > .claude/agents/ > ~/.claude/agents/ > plugin. What loads at startup list: system prompt, task message, CLAUDE.md files, git status snapshot, preloaded skills (sub-agents.md).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples",A: model values completed to sonnet|opus|haiku|fable|full model id|inherit (sub-agents.md frontmatter table).
ccdvf-cc-agent-memory-scopes,concept,D3,D3 Claude Code,d2,D3.md,100,1000,https://code.claude.com/docs/en/sub-agents,"memory: user -> ~/.claude/agent-memory/<name>/; project -> .claude/agent-memory/<name>/ (shareable via version control); local -> .claude/agent-memory-local/<name>/ (not in version control). Subagent receives memory instructions, first 200 lines or 25KB of MEMORY.md whichever smaller, Read/Write/Edit auto-enabled. Main conversation auto memory is not loaded into subagents (https://code.claude.com/docs/en/memory#auto-memory). 'Subagent memory is part of auto memory: if you turn auto memory off ... the memory field has no effect' (sub-agents.md).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","A: added that the memory field has no effect when auto memory is off via autoMemoryEnabled or CLAUDE_CODE_DISABLE_AUTO_MEMORY (sub-agents.md ""Subagent memory is part of auto memory"")."
ccdvf-cc-auto-memory-vs-claude-md,concept,D3,D3 Claude Code,d1,D3.md,101,1010,https://code.claude.com/docs/en/memory,"Auto memory on by default; ~/.claude/projects/<project>/memory/ with MEMORY.md index plus topic files; <project> derived from git repository so worktrees share it; machine-local. Four note kinds user/feedback/project/reference; skips what codebase or CLAUDE.md already says. First 200 lines or 25KB of MEMORY.md loaded at start; topic files on demand. Disable: autoMemoryEnabled false or CLAUDE_CODE_DISABLE_AUTO_MEMORY=1. Table: CLAUDE.md written by you (rules), auto memory written by Claude (learnings); both context not enforced.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-session-resume-transcripts,concept,D3,D3 Claude Code,d1,D3.md,102,1020,https://code.claude.com/docs/en/sessions,"Transcripts at ~/.claude/projects/<project>/<session-id>.jsonl; 30-day retention via cleanupPeriodDays. claude --continue = most recent conversation in current directory; claude --resume = picker, or <name>/<id>; /resume inside session; -n/--name and /rename. Resumed session restores history, model, agent, permission mode (terminal); --mcp-config, --settings, --plugin-dir, --add-dir not restored. -p and SDK sessions left out of picker and --continue, resumable via --resume <session-id>. --fork-session. Session-id capture example from https://code.claude.com/docs/en/headless.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-builtin-slash-commands,concept,D3,D3 Claude Code,d1,D3.md,103,1030,https://code.claude.com/docs/en/commands,"/context (context usage grid), /status, /permissions alias /allowed-tools (rules and their settings.json source: https://code.claude.com/docs/en/permissions#manage-permissions), /memory, /config alias /settings, /doctor (slow hooks, CLAUDE.md optimization), /mcp, /hooks, /usage alias /cost, /rewind, /agents prints reminder as of v2.1.198, MCP prompts as /mcp__server__prompt, custom skills as /<name>. /status Setting sources line: https://code.claude.com/docs/en/settings#confirm-what-loaded. MCP prompts listed as /servername:promptname (MCP); typing /mcp__servername__promptname also runs it (mcp.md 'Use MCP prompts as commands').",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","A: MCP prompts corrected to /server:prompt (MCP) with /mcp__server__prompt as the alternate form (mcp.md ""Use MCP prompts as commands""); /doctor wording aligned to ""flags slow hooks and trims oversized CLAUDE.md"" (commands.md /doctor row); dropped ""writes them to settings files"" from /config to stay under 120 words."
ccdvf-cc-streaming-input-mode,concept,D3,D3 Claude Code,d2,D3.md,104,1040,https://code.claude.com/docs/en/cli-reference,"--input-format stream-json = 'Streaming input mode' for persistent processes receiving multiple user turns as JSONL on stdin, current cli-reference lists only the flag (options text|stream-json) and its example is `claude -p --output-format json --input-format stream-json`, so no documented requirement to pair with stream-json output; --include-partial-messages requires --print and --output-format stream-json; --replay-user-messages requires both stream-json formats. From https://code.claude.com/docs/en/headless: stream-json is newline-delimited JSON, last line is a result message with text, cost, session metadata; system/init is the first event; subagent messages carry parent_tool_use_id; jq text_delta filter example.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples",A: removed the claim that --input-format stream-json must be combined with --output-format stream-json; current cli-reference only lists the flag and its own example pairs it with --output-format json. Kept: --replay-user-messages requires both stream-json formats; --include-partial-messages requires --print and --output-format stream-json. Ledger fact_checked corrected to match.
ccdvf-cc-auto-mode-classifier,concept,D3,D3 Claude Code,d2,D3.md,105,1050,https://code.claude.com/docs/en/permission-modes,"Classifier blocks: escalation beyond request, unrecognized infrastructure, hostile-content-driven actions; default blocks include 'Downloading and executing code, like curl | bash' and 'Sending sensitive data to external endpoints'. Explicit ask rules still force a prompt. Built-in starting mode on Pro, Max, Team. Model requirement on Claude API: Opus 4.6+, Sonnet 4.6+, or Fable. defaultMode auto does not take effect from .claude/settings.json or settings.local.json; move to ~/.claude/settings.json. 'Auto mode reduces permission prompts but does not guarantee safety.' permissions.disableAutoMode 'disable' in managed settings. Pushing to any branch of the working repository, and creating a matching PR, run without a prompt in auto mode unless a permissions.ask rule matches (permission-modes.md 'What the classifier blocks by default'). Prompts forced by ask rules or a hook are still shown in auto mode (permission-modes.md switch-modes note).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","Q: git push now explicitly covered by a permissions.ask rule, because permission-modes.md says pushes to any branch of the working repository run without a prompt in auto mode unless an ask rule matches. A: added that sentence; trimmed wording to stay under 120 words. Ledger fact_checked extended."
ccdvf-permission-modes,concept,D3,D3 Claude Code,d2,D3.md,106,1060,https://code.claude.com/docs/en/permission-modes,"Modes table: default = reads only; acceptEdits = reads, file edits, filesystem commands mkdir touch rm rmdir mv cp sed in working dir; plan = reads, edits blocked until plan approved; auto = everything with classifier; dontAsk = denies anything that would prompt (CI); skip-all-checks mode = everything, 'Only use this mode in isolated environments like containers, VMs, or dev containers without internet access', refuses root/sudo, cannot be entered from a session started without it, --dangerously-skip-permissions equivalent flag. Shift+Tab cycle default -> acceptEdits -> plan. Deny rules block in every mode.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-settings-json-permission-rules,concept,D3,D3 Claude Code,d2,D3.md,107,1070,https://code.claude.com/docs/en/permissions,"Rules evaluated deny, then ask, then allow; first match wins; specificity does not change order; allow cannot carve exception out of deny. Bash * matches any text; trailing ' *' with space also matches bare command; Bash(ls *) matches ls not lsof. Path rules gitignore syntax //absolute, ~/home, ./relative; Read(./.env); WebFetch(domain:example.com); mcp__server__tool. Bare tool name in deny removes tool from context. Strict JSON and $schema https://json.schemastore.org/claude-code-settings.json from https://code.claude.com/docs/en/settings#edit-a-settings-file.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
