uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-budget-tokens-max-tokens-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/extended-thinking ; https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting ; https://platform.claude.com/docs/en/build-with-claude/thinking,"budget_tokens minimum 1,024 and must be less than max_tokens (except interleaved thinking); Haiku 4.5 extended thinking only, rejects adaptive with 400; SDK streaming requirement above 21,333 max_tokens is client-side",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-forced-tool-with-manual-thinking-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools ; https://platform.claude.com/docs/en/build-with-claude/extended-thinking,"manual extended thinking supports only tool_choice auto or none, any/tool error; adaptive thinking supports forced tool use (except Fable 5.1 / Mythos 5.1); budget_tokens must be below max_tokens except interleaved; interleaved-thinking-2025-05-14 header deprecated but functional on Sonnet 4.6 manual mode, does not change tool_choice rule",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-prefill-removed-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/working-with-messages ; https://platform.claude.com/docs/en/build-with-claude/structured-outputs ; https://platform.claude.com/docs/en/api/messages,"prefill not supported on Claude 4.6 and later, 400 error; use structured outputs (output_config.format, json_schema) or system prompt instructions; structured outputs guarantee schema-compliant responses via constrained decoding; temperature non-default rejected on models after Opus 4.6",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-prewarm-cache-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"max_tokens 0 pre-warm with explicit breakpoint on shared prefix; automatic caching places breakpoint on placeholder => follow-up misses; max_tokens 1 legacy workaround bills output token; 1h TTL extends existing entry only, never exceeds one hour; re-send within TTL",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-pdf-visual-content-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/pdf-support,each PDF page converted to image and text extracted alongside; enables questions on charts/diagrams; document block required for visual understanding; max_tokens is output only,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-then-text-ordering-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/vision,Claude works best when images come before text; label multiple images Image 1: Image 2: to refer by name; multiple images analyzed jointly for comparison; oversized images downscaled to tier limit,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-count-tokens-limits-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/token-counting,"count_tokens rejects server tools (web search etc; advisor tool allowed), MCP connector, image/document blocks with url or file source; client tools, system prompts, thinking blocks supported; base64 to count media",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-scope-changes-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-use-with-prompt-caching,invalidation table: tool definitions => tools+system+messages; web search toggle => system+messages; tool_choice => messages only; images => messages only; editing top-level system invalidates system and messages (mid-conversation page),2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-tool-result-content-types-mcq-01,mcq,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,"tool_result content: string or list of blocks of type text, image, document, search_result; example tool result with image block base64; tool_use blocks are assistant content; tool_result not nested",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-replay-rules-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting,pass thinking and redacted_thinking blocks back complete and unmodified within tool-use turn; sequence cannot be rearranged/edited/partially dropped (400); mid-turn thinking toggle silently disables thinking and invalidates cache; effort change invalidates cache; no server-side storage of conversation (stateless),2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
